Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
222160,KR7222160004,바이옵트로,KOSDAQ,기술성장기업부,5090,2,-260,-4.86,5440,5440,5090,107378,555479410,41859471240,8143866,KSQ
123840,KR7123840001,한일진공,KOSDAQ,중견기업부,413,1,12,2.99,410,468,409,3945096,1734409810,41832189152,100558147,KSQ
039980,KR7039980008,리노스,KOSDAQ,중견기업부,903,1,1,0.11,896,911,893,84014,75569083,41806365495,46194879,KSQ
058450,KR7058450008,일야,KOSDAQ,중견기업부,1160,2,-102,-8.08,1262,1262,1160,1883051,2290883250,41744769000,34189000,KSQ
215480,KR7215480005,토박스코리아,KOSDAQ,중견기업부,4360,2,-35,-0.8,4395,4520,4275,89839,394189705,41728913380,9614957,KSQ
084670,KR7084670009,동양고속,KOSPI,,14400,3,0,0.0,14430,14430,14400,263,3788070,41725149290,2895569,STK
048470,KR7048470009,대동스틸,KOSDAQ,우량기업부,4165,1,95,2.33,4095,4170,4070,36164,149234015,41700000000,10000000,KSQ
311960,KR7311960009,에이아이더뉴트리진,KONEX,일반기업부,13600,2,-660,-4.63,14700,14700,13600,536,7344010,41652230400,3062664,KNX
435620,KR7435620000,하나금융25호스팩,KOSDAQ,SPAC(소속부없음),9670,2,-30,-0.31,9680,9700,9640,23583,227788880,41643360000,4302000,KSQ
012620,KR7012620001,원일특강,KOSDAQ,우량기업부,9470,2,-20,-0.21,9490,9530,9400,6397,60521870,41624000000,4400000,KSQ
225590,KR7225590009,패션플랫폼,KOSDAQ,중견기업부,1572,1,5,0.32,1567,1579,1552,60820,95044921,41606545706,26636713,KSQ
044380,KR7044380004,주연테크,KOSPI,,700,3,0,0.0,700,705,687,154893,107528639,41557869288,59199244,STK
006920,KR7006920003,모헨즈,KOSDAQ,중견기업부,3800,2,-5,-0.13,3770,3850,3770,32741,124705995,41550600000,10920000,KSQ
035460,KR7035460005,기산텔레콤,KOSDAQ,벤처기업부,2860,1,15,0.53,2845,2860,2805,83236,235839915,41545419000,14577340,KSQ
