,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
77,097950,KR7097950000,CJ제일제당,KOSPI,,314500,1,500,0.16,315500,317000,314500,39931,12591096000,4734541497000,15054186,STK
78,251270,KR7251270005,넷마블,KOSPI,,54600,1,600,1.11,54100,55700,54100,315024,17245783000,4693061209200,85953502,STK
79,004020,KR7004020004,현대제철,KOSPI,,34100,1,300,0.89,34150,34400,33900,714302,24390354800,4550501268500,133445785,STK
80,000100,KR7000100008,유한양행,KOSPI,,58600,2,-400,-0.68,59400,60000,58400,187223,11025988500,4491025300200,76638657,STK
81,006800,KR7006800007,미래에셋증권,KOSPI,,7320,2,-20,-0.27,7400,7450,7280,820067,6008900700,4430916106560,605316408,STK
82,000720,KR7000720003,현대건설,KOSPI,,38600,1,300,0.78,38300,38800,38300,403930,15585684600,4298332529000,111355765,STK
83,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,34650,3,0,0.0,35250,35350,34500,247320,8600148000,4292271140850,123875069,STK
84,028300,KR7028300002,HLB,KOSDAQ,중견기업부,33850,1,300,0.89,33550,34200,33300,762933,25695473300,4153616243600,122706536,KSQ
85,011790,KR7011790003,SKC,KOSPI,,107400,1,100,0.09,107600,108500,106100,159731,17132433200,4067055205200,37868298,STK
86,128940,KR7128940004,한미약품,KOSPI,,317500,1,4000,1.28,316000,324500,313000,39075,12502317000,3988485165000,12562158,STK
87,005387,KR7005382007,현대차2우B,KOSPI,,106700,2,-1900,-1.75,108800,108900,106700,132133,14181522900,3854067699900,36120597,STK
88,011780,KR7011780004,금호석유,KOSPI,,130000,1,1700,1.33,129700,130800,128800,68787,8936663500,3810860560000,29314312,STK
89,035250,KR7035250000,강원랜드,KOSPI,,17650,1,10,0.06,17680,17790,17620,627102,11078462300,3776049825000,213940500,STK
90,064350,KR7064350002,현대로템,KOSPI,,33800,1,1200,3.68,33050,33900,32900,3084186,103438017400,3689009503400,109142293,STK
91,078930,KR7078930005,GS,KOSPI,,38850,1,600,1.57,38400,38850,38250,391683,15149278450,3609762435300,92915378,STK
92,112610,KR7112610001,씨에스윈드,KOSPI,,84600,1,4300,5.35,81000,84700,81000,488981,41026788000,3567700693800,42171403,STK
